25346,68187,147735,329061,148517,669666,2940883,6376281,
19680,63499,153116,294828,134480,753978,2427220,6457271,
22527,61685,158963,318122,133923,727457,2641088,6247075,
20915,59013,156383,339851,144014,673550,2397807,6095471,
22726,59142,162961,288507,141049,686815,2764307,5928719,
21445,61945,140059,398173,144698,672814,2536672,6224900,
19955,60506,163054,370069,142478,710355,2454373,5894694,
20882,61896,168857,347090,132185,680019,2700820,5452693,
19424,59755,154251,335598,123622,695178,2473414,6890999,
21424,62657,147531,354642,143678,701891,2518657,6088460,
21341,56624,139946,324189,130731,697912,2477346,6393041,
20972,62534,160448,330535,148583,719101,2582214,6652792,
20811,67791,165965,305591,140331,679242,2485537,6359485,
20848,61858,156422,337400,149443,638822,2270408,6134567,
20878,63223,159437,366465,134277,669136,2477982,6187017,
20176,66488,140789,316987,124532,678764,2692388,5898416,
21372,62798,163622,316453,138581,684513,2456111,5979214,
20889,66307,151321,285748,139850,672721,2197167,6570955,
19184,62309,148054,304685,142486,628182,2438158,6522419,
20571,60645,165614,374600,132938,674396,2555122,5983577,
19548,65052,171680,294922,134679,730895,2410597,6590066,
22077,61234,184598,307585,129042,615700,2493490,6998754,
21688,60606,151394,316178,140519,615066,2703406,6566530,
20768,60875,158827,293817,148562,653331,2311153,7032839,
20619,63085,160929,341293,138778,695818,2452229,5710725,
19951,62934,156550,304785,139336,650395,2525061,6834123,
20444,63328,157386,347346,141618,662013,2409282,6182896,
20964,61388,146370,304173,142779,723941,2255366,6433917,
21072,64669,147247,334623,138974,690919,2301716,6839260,
20224,65453,155336,280652,136843,686611,2674320,6002813,
21762,61200,173961,311769,133823,705107,2442003,6909248,
20570,62025,162709,328075,141392,704977,2682493,6734358,
20879,66222,148314,328507,154743,670203,2667907,6982607,
20722,63743,163006,314879,136851,694420,2697825,6337396,
21253,61048,165433,332140,124165,693162,2627262,5472537,
20586,57282,149422,332950,154120,684985,2337569,6771643,
21167,62993,149606,266471,146174,635694,2831967,6043853,
21213,75624,158985,319388,133794,763902,2709318,6476882,
21113,63098,141672,338530,130151,771723,2700287,7208804,
21830,59068,167299,368246,124961,756928,2590170,6599280,
19624,68082,156881,335569,133107,746650,2930391,6619661,
24121,73580,150515,418479,145505,674437,2985542,7123234,
20798,55868,164762,319777,142364,679762,2414428,7163586,
21548,61707,152466,350109,124580,732925,2242199,6124757,
22028,59817,178439,349633,122695,728706,2658662,7156634,
22030,62724,153445,335337,136808,713460,2605130,6016105,
22241,65942,152739,375792,135491,711103,2680712,6909225,
19740,65527,174346,372756,156014,794068,2615492,7429689,
23471,61551,153194,337340,144707,784591,3027169,6059073,
21464,77318,152315,332502,139151,699856,2596750,6582456,
22441,66358,158031,349665,139002,680949,2940405,5776199,
22240,58845,145658,354846,139111,653530,2605544,5713534,
20275,66285,147446,295005,136215,650679,2417922,6436804,
20826,60102,158641,322207,139851,644492,2510581,6273454,
20678,61508,160507,304466,145201,651859,2488873,6297825,
19148,65273,141164,334207,131938,711296,2545094,6421791,
22238,64216,148530,320095,123884,654455,2425039,6685467,
21506,56588,159395,320124,136658,675818,2716703,5893436,
20456,59890,144884,341578,144120,657175,2572532,6998852,
20997,63886,171699,367327,137913,752917,2666473,7114711,
21492,56515,145645,414933,130271,655757,2418733,6879445,
21347,71261,157054,322987,137725,764508,2288450,6378826,
20846,66519,143125,326639,141710,671696,3127663,5757015,
20737,58461,168922,344690,144493,680059,2467797,6399014,
21756,68353,147033,296922,136404,719145,2507065,6223724,
20943,63018,153621,396494,125241,669499,2515555,6886699,
20568,61488,157546,325067,139574,730527,2558524,6153351,
20379,59754,154039,300002,129754,740263,2245581,6433231,
21519,61019,137797,315679,134706,652061,2684297,5593273,
20303,62704,135210,342397,126094,595184,2470101,6891735,
20025,68552,145387,314262,141282,608966,2400256,6410332,
21711,59221,150027,375321,142368,729817,2507372,6573216,
21238,65322,146111,309033,126069,721822,2559996,6307530,
21866,61733,173567,320238,149416,702883,2427920,6561973,
21100,65536,137256,355823,145581,690839,2479495,5980895,
20862,66138,163249,336861,138638,666796,2687223,5982362,
21654,61131,171868,276224,137781,675753,2568628,7557427,
21703,68433,173925,374134,152331,705351,2624100,5934864,
22198,63424,154645,330090,142413,827375,2813692,6186043,
28859,90211,176107,385866,173911,681784,2561490,6676869,
22386,71372,166482,314046,142951,683417,2460749,5696225,
21812,64175,160134,381168,154974,796654,2497454,6059100,
21487,70547,145462,354341,145902,703361,2343326,7200142,
21984,62282,164669,357977,125802,672758,2578518,6150320,
19798,69436,162392,350773,144764,710813,2635498,6339241,
21228,64720,161483,353954,140976,729436,2166225,6192110,
21840,65445,142674,299617,143315,749453,2324494,5940697,
21732,65230,155775,316767,124437,687801,2375968,6137869,
21389,61217,153374,328137,127318,660450,2386159,6422114,
20862,64558,149933,316618,146497,704297,2360745,7202346,
20030,65322,153990,349353,146238,710993,2744994,6346421,
19789,68017,161099,373565,150333,761017,2543027,6463792,
22023,66676,176043,311777,124425,650527,2680285,5956537,
22233,65237,161922,373936,140449,760919,2528940,7288536,
20859,63231,148611,327134,124120,699728,2513568,6575910,
21139,59385,142935,362894,139801,692004,2598915,6049573,
21228,66182,157283,337268,142946,675940,2497084,7282933,
20412,62907,168457,307726,154703,662087,2653219,5797686,
21115,57239,164480,315197,142971,667994,2574124,5933753,
21023,62145,138785,344598,137929,654453,2519878,6246396,
