133395,535538,899213,3698833,4178957,23057497,
149945,475754,963103,3760072,4178373,22157409,
161552,476034,934347,3540351,3906982,19800426,
144902,537470,987597,3608119,4044224,20918090,
135657,492474,1052255,3759462,4082488,20497083,
153856,589125,954222,3814896,4269367,21423411,
153103,575727,892370,3767951,3913143,22425030,
150939,642270,1160710,3948268,4174405,21782038,
185281,529258,928206,4064017,4595992,20748981,
146238,559953,982919,4060653,4042442,21747513,
143420,591738,927439,3768217,4133665,21674225,
192577,739894,1018401,4259235,4272578,23412031,
144482,481660,976038,3937208,4185666,20217342,
140208,558760,913406,3739591,4027155,21229886,
150221,516465,1033984,3790323,4182377,21380845,
258652,568875,944784,4147211,3889733,20738181,
155346,558498,994582,3629209,4047257,19882296,
135618,471747,882082,3951326,4135979,21370901,
143061,551754,929354,3577642,4168138,21032656,
148806,483147,960337,3696899,4057232,20768742,
148921,496242,994135,3719131,3903488,20621663,
143182,554752,904801,3739203,4091051,22103442,
145454,505834,849309,3467895,4109025,20770004,
146379,489366,946701,3643024,4075931,22131325,
160277,510378,988650,3819874,4014105,19830700,
151705,547370,919044,3852284,4068742,19593347,
146293,585726,965370,3727551,4063340,19992140,
149977,562495,942376,3679154,3974516,21296616,
140308,537419,937202,4242104,4014263,20916222,
135485,548276,900807,3719259,4032462,20121726,
153022,539482,974260,3644762,3967128,21468246,
149537,472090,956658,3561522,4101956,20997055,
158564,586551,928482,3659971,4043275,20552280,
145176,583772,891824,3634869,4121007,22097996,
164770,547712,855079,3507858,3920136,21600137,
162066,550545,951244,3832110,3989016,20594545,
167689,519272,911499,3572094,4144273,21005575,
144323,532754,866380,3665623,3852353,19823549,
135152,529710,891963,3719602,4025886,20081929,
153920,532833,963278,3812683,4337348,21371610,
141167,586134,870030,3630206,4129562,22773439,
141665,565722,919866,3804208,4199781,21345095,
161276,560016,921813,3649470,3989699,24169810,
149492,537829,940713,3711590,4003440,21499897,
165286,478480,994842,3531462,4028429,21131109,
130807,556154,939319,3805192,3996908,21738914,
219111,744878,1066388,5519038,4179487,23008200,
144514,554365,987144,4161734,4115874,23167085,
147653,601819,1142441,4982273,4402743,22468496,
170842,587819,1004672,3985410,4165263,20940381,
149226,568479,945243,4543865,4809920,19241270,
149273,587656,895837,3704121,4030819,21873132,
135802,544839,892716,3664565,4205497,21428675,
161054,543706,998242,3514888,4115950,20479018,
142717,545365,1107038,3982169,4625455,21542778,
146047,544976,980710,3795383,4218255,21483631,
148957,568962,989798,3770042,4026330,19513460,
153601,480365,985176,3927860,4325528,21189960,
132032,561720,989022,3761255,4125477,20663898,
156202,572171,976144,3883206,4122713,20750643,
172850,605468,926991,3901178,4059250,22004279,
155792,521597,872771,3918577,4114422,21809433,
163067,470210,917375,3725110,4181428,20376761,
119772,581707,899749,3795143,4255018,20183931,
183055,549935,972687,3833796,4088165,22081962,
127168,518641,910018,3923290,4129262,22593825,
143866,522760,867814,3912231,4060210,20015398,
151435,504206,926842,3990829,4093266,20409023,
136808,559048,984905,3579057,4223957,20183231,
149547,543667,977009,3568701,4436507,21880726,
152456,572964,994038,3548535,4179297,21085063,
145095,541150,876445,3649342,3990403,20022085,
138138,539545,917753,3724445,4262121,20291298,
146784,581148,961113,3649232,3949734,22561890,
163653,574111,974050,3967472,3935157,20484679,
155036,567984,863858,3495674,4191208,20724670,
132842,566981,838694,3657234,4169850,19390182,
140183,495967,970401,3853498,4205751,20747764,
135780,543906,868062,3825279,4166640,20777983,
154479,573079,854081,3654117,4274332,20777983,
166530,521846,907853,3592169,4110920,21219900,
139571,455024,944763,3748884,3644565,21233606,
137207,558067,926053,3819549,4368277,20007984,
151606,494133,846104,3679016,4030421,20883696,
156509,572938,961993,3737430,4103376,21975042,
148754,563039,919706,3476146,4056358,20882967,
156776,564467,980031,3887454,3883034,21146905,
159465,647374,894404,3888267,4270266,19930812,
173090,468656,1034028,3701609,4050499,19404252,
137511,490632,939238,3883899,4097129,22121364,
164372,560631,969341,3602224,4082816,19921784,
153411,518866,882691,3977725,4145237,22040283,
176140,554367,935108,3544456,4040464,21443025,
143907,551940,1019589,3767121,4047749,23589338,
165725,553242,937818,3707544,4187809,21645466,
147435,592151,1041474,3842563,4320061,21962380,
154627,645279,1008480,3808420,4144384,20251680,
136261,530043,937473,3612947,4124021,20927096,
161070,499261,927138,3709142,4064540,21404157,
152499,557291,954505,3674814,4188370,20795244,
